bg,ND10,ND11,ND12,ND13,ND14,ND15,ND16
521,43675,4685,1030,554,569,599,571
565,49509,6096,1213,582,557,570,580
582,50374,6667,1398,640,618,602,620
557,51028,7362,1547,647,583,615,587
592,51341,7839,1712,668,584,612,554
604,51183,8100,1793,707,571,633,614
602,50793,8126,1828,645,566,601,599
544,49810,8128,1948,625,563,615,592
556,48167,7857,1990,631,587,644,573
589,46350,7405,1901,680,595,597,597
596,42398,6633,1936,689,620,570,591
628,38361,6022,1834,647,596,608,588
548,32049,5291,1771,679,592,608,595
567,26337,4512,1613,667,645,562,634
635,18708,3481,1459,644,574,598,623
608,13106,2764,1329,636,563,580,535
586,7687,1965,1128,651,615,597,556
545,5141,1439,999,590,583,534,592
634,4889,1061,883,606,598,606,586
562,7369,835,755,560,535,616,591
551,11948,898,664,651,590,580,571
566,18217,1125,603,587,618,595,558
605,24608,1551,622,574,584,611,579
614,31845,2258,681,563,565,599,598
609,37123,2938,856,597,593,570,574
569,42310,3845,864,600,624,544,609
567,45540,4666,1025,605,637,617,592
583,47941,5522,1140,601,574,557,604
641,49656,6375,1274,638,539,598,606
603,50774,6949,1567,616,626,622,584
591,51067,7329,1610,674,590,614,580
582,51291,7855,1776,653,580,607,607
591,51017,8198,1883,649,619,571,603
599,50394,8083,1990,644,634,577,648
573,49165,8033,2024,651,611,562,600
623,47048,7539,2062,665,566,593,556
574,44018,7033,1919,683,583,602,598
592,40285,6385,1906,668,626,609,593
617,34736,5637,1715,658,655,610,608
628,28558,4601,1711,645,598,622,573
603,21798,3864,1469,674,567,606,575
610,15611,3101,1410,622,600,634,566
639,10007,2268,1195,651,606,585,585
613,6412,1617,1031,645,573,635,571
608,4958,1173,906,593,561,575,582
610,6289,928,809,608,589,574,634
562,9959,891,667,590,640,646,585
591,15461,1145,704,591,584,610,604
633,22164,1488,653,576,638,615,601
630,28628,2062,696,555,613,582,659
609,34755,2696,744,594,619,604,610
623,40161,3584,844,601,587,611,612
561,44011,4492,974,597,579,618,668
641,46845,5326,1103,605,568,598,595
618,48867,6133,1264,622,562,580,578
605,50269,6861,1478,667,586,580,578
609,50895,7261,1598,641,582,573,620
580,50827,7858,1738,690,603,602,608
634,50755,8129,1857,661,617,620,602
561,50231,8085,1938,657,586,611,588
592,49067,8200,2024,664,622,635,568
614,47345,7605,2039,701,599,624,591
574,44604,7256,1923,670,574,614,620
590,41099,6674,1890,720,598,632,660
564,36686,5759,1758,679,645,626,605
597,31156,4978,1666,638,589,599,641
636,24657,4036,1576,668,635,605,568
566,18175,3252,1373,620,596,603,558
637,12532,2542,1193,665,605,646,608
605,8019,1875,1091,621,614,622,607
595,6010,1374,940,647,624,651,593
603,6376,1031,832,601,629,599,629
584,9163,959,739,605,600,616,597
